日均UV,平均注册率,平均搜索量,访问深度,平均停留时间,订单转化率,投放总时间
3.69,0.0071,0.0214,2.3071,419.77,0.0258,20
178.7,0.004,0.0324,2.0489,157.94,0.003,19
91.77,0.0022,0.053,1.8771,357.93,0.0026,4
1.09,0.0074,0.3382,4.2426,364.07,0.0153,10
3.37,0.0028,0.174,2.1934,313.34,0.0007,30
0.95,0.0141,0.4155,4.2113,415.56,0.0276,2
3.3,0.0028,0.0852,1.7358,155.19,0.0007,4
11.91,0.0032,0.0539,2.3751,243.29,0.0032,4
49.21,0.0038,0.0448,2.3813,257.53,0.003,6
46.31,0.0044,0.0559,2.2621,231.91,0.0029,16
125.55,0.0021,0.013000000000000001,2.0766,238.87,0.0018,19
115.38,0.002,0.0184,2.0319,205.02,0.0018,8
12.71,0.0008,0.0188,2.0617,228.4,0.0024,21
0.74,0,0.0125,1.425,152.1,0,14
408.42,0.0015,0.0117,1.9114,172.92,0.0025,9
13.52,0.0021,0.0141,1.8211,176.53,0.0025,15
1.53,0.0128,0.0128,1.6603,222.31,0.0047,12
2.32,0,0.0042,1.9789,267.97,0,30
20.6,0.0009,0.013999999999999999,1.7237,245.72,0.0016,11
31.84,0.0015,0.0132,1.6553,227.03,0.0012,22
30.74,0.0031,0.0103,1.6126,273.09,0.0027,14
87.57,0.0014,0.0094,1.7953,170.74,0.0026,13
155.81,0.0016,0.0122,1.8087,165.21,0.0026,9
1.42,0,0.0133,1.5467,195.21,0.0017,19
471.3,0.0021,0.0115,1.7931,172.97,0.0026,30
397.16,0.002,0.0105,2.3973,244.97,0.0026,23
0.73,0,0.012,2.0843,266.12,0,18
56.99,0.0029,0.0124,1.8223,158.79,0.0024,5
2699.42,0.006,0.0799,3.8914,362.45,0.0089,18
1.26,0,0.0152,1.8485,103.7,0,12
0.97,0.0096,0.0288,2.1058,263.03,0.0025,25
51.47,0.0036,0.009000000000000001,1.4805,177.47,0.0041,29
396.72,0.0027,0.0091,1.5081,154.08,0.0031,27
120.11,0.0042,0.0095,1.4805,161.68,0.0034,27
162.44,0.0012,0.0094,1.6565,111.44,0.0013,23
18.11,0.0016,0.0065,1.8496,126.2,0.0024,30
3282.76,0.0024,0.0082,2.3239,247.37,0.0029,21
3.02,0,0.0062,2.3292,319.37,0.0063,18
2687.24,0.0037,0.009000000000000001,2.4957,244.23,0.0049,28
148.06,0.0063,0.0226,3.4601,346.18,0.0115,7
975.09,0.0044,0.0109,2.4405,221.94,0.0065,26
1.78,0.0053,0.0107,2.2299,258.69,0.004,23
1.02,0,0.019,1.9143,383.9,0,5
0.72,0,0,1.8182,452.26,0,13
1.41,0.0067,0.0201,1.7517,353.21,0,12
408.62,0.0033,0.0183,2.9112,300.89,0.0056,30
26,0.0041,0.0075,1.5792,224.96,0.0017,2
5.37,0.0018,0.018000000000000002,1.9928,181.93,0.0049,15
131.25,0.004,0.0082,2.0127,235.72,0.0072,6
1021.84,0.0012,0.0085,2.0031,191.94,0.0014,13
1.45,0,0,1.8649,183.42,0.0016,14
397.25,0.004,0.0174,2.7874,292.63,0.0029,8
158.33,0.0035,0.0138,2.5696,296.33,0.0023,1
1.34,0,0,1.3037,233.04,0,24
3.89,0.0024,0.0048,2.2153,448.55,0.0043,19
4.22,0,0.0184,1.8782,218.95,0.0011,7
1.13,0,0.0168,1.8487,328.79,0,25
62.11,0.0002,0.0107,1.8414,187.24,0.0015,12
434.67,0.0012,0.0119,2.6377,227.92,0.0017,12
5.12,0.0076,0.017,2.2231,245.51,0.0005,19
1.23,0.0391,0,2.1172,451.57,0.0039,14
0.85,0,0.0115,2.2414,321.12,0.0168,27
351.81,0.0028,0.0102,2.5722,258.83,0.0044,11
28.28,0.0014,0.0038,2.52,245.31,0.0017,6
216.24,0.0019,0.0106,2.3688,205.55,0.0012,27
37.56,0.0015,0.0159,2.265,238.15,0.0058,9
166.28,0.0034,0.0057,2.6545,246.89,0.0029,15
0.75,0,0,1.4026,137.35,0,17
1.97,0.005,0,1.7525,196.86,0.0012,24
4.44,0,0,1.3474,507.23,0.0005,23
31.71,0.0003,0.0006,1.0971,263.7,0.0001,15
127.05,0.0006,0.0029,1.2228,171.44,0.0003,5
8.99,0,0.0033,1.4880000000000002,170.9,0.0005,4
7.75,0,0.0013,1.0772,403.79,0,5
239.05,0.0007,0.0017,1.1348,306.17,0.0004,25
230.14,0,0.0018,1.0898,272.55,0.0001,17
8.28,0,0.0036,1.0597,232.46,0.0006,4
16.76,0.0006,0,1.1097,348.37,0,17
2.42,0,0.0041,1.0531,178.38,0,5
7.34,0,0.0067,1.1566,333.67,0.0003,18
1.57,0,0,1.6164,193.02,0,27
1.38,0,0,2.0719,197.82,0,2
54.69,0.0027,0.0014,2.2761,216.27,0.0015,26
1.65,0.0172,0.0057,2.4023,252.81,0.0029,4
23.52,0.005,0.0021,2.5657,188.77,0.0014,13
64.87,0.0015,0.0134,2.2853,248.46,0.0015,24
5.76,0,0.0085,1.6576,101.15,0.0025,29
15.28,0.0049,0.0339,2.5675,291.15,0.0067,14
50.49,0.0041,0.0285,2.7619,207.25,0.0033,26
0.96,0.01,0.03,2.32,183.64,0,19
0.72,0,0.0676,1.8378,256.22,0.0066,22
48.73,0.0016,0.0116,1.8536,155.87,0.0024,16
207.03,0.0019,0.01,1.9715,153.84,0.0024,4
1.1,0,0.0179,1.7143,237.55,0,9
1.89,0,0.0206,1.9845,199.78,0.0025,4
1.94,0,0,1.3969,103.57,0,19
0.75,0,0.0132,1.8158,69,0,22
35.67,0.0019,0.0067,2.181,240.52,0.0027,1
170.53,0.0006,0.0035,1.4886,215.68,0.0009,27
0.99,0,0,2.5882,207.3,0.0072,29
39.95,0.0059,0.0168,3.3213,331.23,0.0073,19
3.92,0,0.0148,2.6576,257.91,0.0097,13
178.82,0,0.0018,1.3158,226.92,0,23
1.66,0.0056,0.0056,2.9333,406.77,0.0057,20
0.72,0,0,1.0685,162.25,0,18
27.05,0.003,0.01,3.0344,303.63,0.0048,11
883.28,0,0.0017,1.3782,234.83,0.0001,26
9.94,0.0039,0.0088,2.7251,276.92,0.0034,4
60.51,0.0038,0.0081,2.0799,250.96,0.0076,5
4.67,0,0.0021,1.605,160.15,0.001,9
115.65,0.0021,0.0088,2.2557,161.46,0.0022,10
3.66,0.0026,0.0053,2.2381,445.52,0.0065,13
3.46,0.0056,0.0056,3.0084,299.03,0.0062,25
0.79,0,0.0125,2.5875,251.05,0.003,16
2.44,0,0.004,1.9798,331.64,0.002,15
12.96,0.0015,0.003,1.9888,332.69,0.0028,28
12.35,0,0,2.0088,101.04,0.0002,11
0.71,0,0,1.2639,103.5,0,1
0.73,0,0,1.5205,198.87,0,6
0.99,0,0,1.9909999999999999,601.89,0.0024,22
18.65,0.0016,0.0058,1.3014,136.01,0.0009,7
0.67,0,0.0282,2.5634,451.17,0,19
2.21,0,0.009000000000000001,1.6099,132.83,0.0043,20
1.27,0,0.0075,1.694,290.44,0,24
44.05,0.0042,0.0182,3.2005,297.96,0.0023,9
4.6,0,0.0106,1.2399,274.75,0,9
19.39,0.0062,0.0167,3.0434,320.77,0.0029,8
7.56,0.0013,0.0125,3.1388,324.83,0.0028,21
77.25,0.0064,0.0165,3.2928,291.31,0.0038,25
34.01,0.0054,0.0196,3.4732,349.33,0.0036,13
9.83,0.0029,0.0118,2.2784,320.62,0.0019,1
23.48,0.0099,0.0163,3.1674,305.89,0.0055,14
29.69,0.0019,0.0133,1.88,221.56,0.0014,7
30.2,0.0097,0.0184,2.7905,381.24,0.0054,21
2.9,0,0.0126,2.8454,375.19,0.0016,29
0.61,0,0.0704,2.8592,436.05,0,16
1827.19,0,0.0021,2.4351,94.47,0.0001,10
1850.26,0,0.0021,2.4714,92.25,0.0001,26
25294.77,0.0013,0.0056,2.0443,291.37,0.0019,1
4064.1,0.0008,0.0045,3.1884,156.86,0.0013,28
1810.84,0.0001,0.0027,2.4701,104.47,0.0003,5
6822.28,0.0004,0.0067,2.7575,147.05,0.0009,22
12068.18,0.0031,0.0266,3.4892,273.5,0.0047,10
8.52,0,0,2.2837,174.27,0,10
1.7,0,0,1.9708,108.1,0,26
16752.95,0.0013,0.0197,2.0797,327.89,0.002,1
5.07,0,0,1.5582,101.17,0,15
14.84,0,0,1.0721,185.03,0,12
4304.33,0.0012,0.0089,3.0204,132.64,0.0019,30
5.08,0,0,1.6621,63.73,0,9
1.15,0,0.0086,1.7759,77.45,0,25
0.53,0.0278,0,9.9583,680.03,0.0719,24
0.65,0,0.3049,5.9268,438.96,0.0183,29
689.18,0.0001,0.0041,1.2746,347.71,0.0002,11
711.71,0.0002,0.0012,1.2957,229.33,0.0001,3
51.28,0.0004,0.0109,1.168,261.29,0.0003,14
837.77,0,0.0013,1.1692,695.05,0,27
397.34,0,0.0026,1.1392,687.09,0,13
838.98,0,0.0001,1.0621,375.92,0,1
1027.8,0.0014,0.0083,2.005,420.23,0.0027,1
776.93,0.0032,0.0056,1.5872,470.25,0.0014,26
810.64,0.0003,0.0042,1.4892,511.82,0.0004,20
515.57,0.0019,0.0019,1.6943,293.64,0.0013,10
481.45,0,0.0003,1.2045,521.41,0.0001,9
378.75,0,0.0019,1.2483,333.51,0.0001,9
1061.24,0.0001,0.0009,1.1294,536.39,0,13
221.37,0.0005,0.0011,1.3376,247.39,0.0005,2
699.72,0.0001,0.0039,1.2969,348.1,0.0001,26
739.93,0.0004,0.0014,1.3032,236.05,0.0001,23
56.04,0,0.006999999999999999,1.1712,265.84,0.0006,25
513.11,0,0.0001,1.0495,400.81,0,13
607.28,0.0001,0.0021,1.234,640.29,0.0002,1
6101.12,0.0001,0.0012,3.0462,79.12,0.0001,17
2.66,0,0,1.0526,209.6,0,21
2.15,0,0,2.8930000000000002,61.76,0,30
4782.88,0,0.0017,1.4086,360.79,0,3
1553.42,0,0.0003,1.0074,517,0,4
9276.45,0,0.0002,1.3062,573.57,0,26
2.8,0,0,1.1815,156.15,0,16
0.62,0,0,5.8497,731.24,0.0307,22
0.75,0.0118,0,2.3412,358.06,0.0032,26
0.71,0,0,1.6316,595.08,0,9
0.69,0,0.0106,1.7234,339.95,0,26
10.37,0.0027,0.2581,2.0878,460.32,0.0023,16
22.03,0.0028,0.273,1.9634,331.8,0.0026,9
8.69,0.0052,0.2721,2.2492,320.94,0.003,27
1696.8,0.0006,0.0025,1.4892,449.28,0.0007,27
1371.16,0.0007,0.0032,1.3058,196.46,0.0005,15
8022.95,0.0015,0.0028,1.2836,222.02,0.0006,13
2857.91,0.0002,0.0004,1.1931,504.9,0.0004,14
617.93,0.0004,0.0004,1.2229999999999999,540.66,0.0003,4
2774.65,0.0005,0.004,1.4392,218.48,0.0005,11
865.18,0.0083,0.0474,4.8006,406.2,0.0108,19
1688.73,0.0014,0.003,1.7099,231.09,0.0006,15
4701.77,0.0001,0.0022,1.4726,402.4,0.0001,17
3005.82,0.0003,0.0018,1.2415,466.74,0.0003,16
73.63,0.0011,0.0032,1.2954,183.13,0.0005,15
693.89,0.0013,0.0036,1.5914,232.55,0.0011,16
1945.05,0.0002,0.0019,1.348,619.79,0.0003,9
146.68,0.0011,0.0021,1.7829,290.85,0.0013,26
4001.49,0,0.0002,1.3918,432.26,0.0001,9
583.85,0.0082,0.0941,4.1954,392.9,0.0106,28
1643.32,0,0.0003,1.0218,575.75,0,23
6087.03,0,0.0004,1.5439,764.75,0,11
3.44,0,0,1.0287,486.22,0,22
1.61,0,0,1.0121,298.53,0,17
66.02,0,0.0036,2.9038,296.99,0.0001,30
0.77,0,0.0127,1.9494,340.73,0,4
1098.3,0.0008,0.006,1.9497,448.69,0.0007,25
307.46,0.0153,0.1413,7.2082,523.27,0.0308,17
14.22,0,0,1.0152,232.24,0,13
2.55,0,0.0076,1.4981,510.51,0.0009,14
175.02,0.0098,0.1084,5.5044,495.25,0.0137,21
15.04,0.0036,0.0263,5.0156,414.17,0.0108,2
9320.06,0.0017,0.0061,1.9409999999999998,518.54,0.0018,18
6.18,0,0.0016,1.0208,328.79,0,4
1.51,0,0,1.0065,570.42,0,24
493.45,0.0001,0.0043,1.3230000000000002,368.06,0,16
1816.29,0.0006,0.0006,1.2919999999999998,526.88,0.0006,17
2266.65,0.0013,0.0127,1.6095,496.31,0.0014,17
122.04,0.0033,0.017,2.7937,365.16,0.0032,19
0.64,0,0.33,5.71,666.3,0.0112,7
513.1,0.0066,0.0474,2.6251,329.86,0.0053,6
1.78,0,0.0576,3.2446,569.2,0.0147,30
1101.34,0,0.0014,1.6067,68.78,0.0001,19
1.36,0,0.2271,4.9345,628.01,0.0105,18
198.7,0,0.0009,1.6886,65.93,0.0001,26
978.37,0,0.0017,1.4973,69.2,0.0001,27
361.36,0,0.0026,1.5839,83.78,0.0001,4
752.21,0,0.0017,1.4797,121.38,0.0001,7
658.32,0,0.0015,1.5743,76.48,0.0004,24
404.01,0,0.0012,1.5393,71.57,0.0001,19
1119.39,0,0.0008,1.5275,65.7,0.0001,27
354.75,0,0.0005,1.5221,69.01,0.0001,27
417.31,0.0002,0.002,1.5091,111.28,0.0001,21
1260.56,0.0003,0.0002,1.6028,81.25,0.0002,25
2.25,0,0.26899999999999996,4.5761,465.62,0.019,8
1107.49,0,0.0014,1.4979,75.65,0,27
733.3,0.0001,0.0013,1.5459,61.81,0.0001,18
1240.76,0,0.0011,1.5285,61.21,0.0001,9
754.35,0.0001,0.0007,1.5224,67.74,0.0002,30
416.05,0,0,1.6777,72.81,0.0001,16
136.83,0.0036,0.0136,2.6497,367.05,0.0036,9
4.94,0.0018,0.0232,3.4393,458.02,0.0082,25
0.77,0,0,1.2308,157.7,0,19
5303.27,0.0012,0.0032,2.1992,281.56,0.0014,14
8900.04,0,0.0011,1.9078,228.05,0,29
1.9,0,0,1.2421,145.44,0,3
1.26,0,0,1.2143,135.27,0,28
24.49,0.0034,0.0467,2.7989,439.09,0.0052,9
1887.63,0.0017,0.0044,2.4998,310.83,0.0025,4
304.07,0.0029,0.0141,2.7393,369.61,0.0028,14
5360.48,0,0.0012,2.0176,240.31,0,27
0.89,0,0,1.3708,146.37,0,4
0.75,0,0,1.2533,157.81,0,5
0.8,0,0.023,1.7586,185.38,0,11
64.67,0.0097,0.0685,2.9173,402.44,0.0113,6
1.02,0.0073,0.3869,4.2336,487.93,0.0023,20
0.07,0.0079,0,2.1587,813.25,0.068,1
170.08,0,0.0001,1.23,212.62,0,24
769.74,0,0,1.3363,253.83,0,10
144.52,0,0.0001,2.0592,136.31,0.0002,8
102.3,0,0.0002,1.5622,180.64,0,11
280.38,0,0.0001,1.3405,235.54,0.0001,29
589.44,0,0.0001,1.4317,272.17,0,24
1135.49,0,0,1.3572,120.8,0,18
214.62,0.0001,0.0004,1.5784,133.23,0.0001,3
523.69,0,0.0001,1.2794,124.51,0,30
283.28,0.0001,0.0001,1.2761,92.92,0,18
145.6,0,0,1.005,74.21,0,1
7046.57,0.0017,0.0088,1.7672,221.22,0.008,5
2.27,0,0,1.6053,160.45,0.0084,2
1715.52,0,0,1.8602,221.3,0,17
238.67,0,0,1.4299,205.27,0,9
269.08,0,0.0001,1.3947,197.62,0.0001,18
305.5,0.0104,0.023,5.082,410.24,0.0117,9
251.06,0,0,1.382,213.38,0,15
338.98,0.0005,0.0014,1.4833,332.64,0.0003,13
197.65,0,0,1.3619,188.61,0,29
328.88,0,0,1.3489,193.5,0,2
300.51,0,0.0001,1.3653,256.95,0,14
147.74,0,0.0002,1.3417,348.43,0,12
67.15,0.0186,0.0442,3.2373,379.45,0.0059,17
2.02,0.017,0.034,4.383,499.02,0.0165,29
854.1,0.0001,0.0002,1.4034,305.66,0.0001,27
406.28,0.0001,0.0002,2.3409,146.62,0.0001,22
651.86,0.0001,0.0004,1.6059999999999999,217.77,0.0001,25
102.38,0,0.0002,1.4001,109.16,0,4
104.74,0,0.0003,1.4206,111.76,0,22
97.54,0.0001,0.0005,1.9125,821.86,0.0002,21
199.34,0,0.0001,1.2386,70.4,0,21
144.78,0,0,2.16,167.53,0,18
39.87,0,0.0003,1.6008,183.48,0.0004,13
188.98,0,0.0001,1.4025,152.93,0,24
629.39,0,0,1.2791,123.42,0,22
344.39,0,0,1.2985,91.31,0,15
68.1,0,0.0003,1.2895,157.56,0,9
204.19,0.0003,0.0005,1.4165,110.77,0.0001,26
225.32,0.0093,0.055999999999999994,2.5971,341.32,0.0067,17
20.8,0.0077,0.0218,2.6558,274.39,0.0061,12
2.67,0,0.0241,3.1375,244.69,0.0009,20
0.89,0,0.6087,1.663,123.17,0.0027,4
1468.39,0,0.0029,1.6421,56.86,0.0001,20
1.01,0,0,1.0291,501,0,5
901.18,0,0.0028,1.6532,56.7,0.0001,10
465.33,0,0.003,1.4862,91,0.0001,24
602.09,0,0.0027,1.4340000000000002,46.42,0,24
600.82,0,0.0025,1.6191,75.3,0.0001,18
399.67,0.0001,0.0013,1.5959999999999999,71.23,0.0003,16
982.25,0.0001,0.0015,1.5626,60.05,0.0002,9
1532.41,0.0002,0.0003,1.6146,73.78,0.0002,28
803.43,0.0001,0.0043,1.5386,61.64,0.0003,23
342.46,0.0001,0.0026,1.5926,61.44,0.0002,3
10.89,0.0051,0.0536,1.9234,242.15,0.0052,25
1201.08,0.0005,0.0065,1.5939,150.12,0.0007,19
1370.23,0,0.0029,1.5876,64.37,0.0001,5
1.76,0,0,1.0056,155.5,0,8
1359.99,0.0001,0.0024,1.5742,75.32,0.0001,13
1546.1,0,0.002,1.4602,131.42,0.0001,30
1133.96,0,0.0016,1.5077,59.06,0.0001,16
667.23,0,0.0016,1.5677,72.96,0.0001,20
592.01,0.0002,0.0043,1.5847,68.78,0.0004,9
1368.76,0,0.003,1.5879,65.17,0.0002,24
1.53,0,0,1,,0,26
1469.64,0.0001,0.0026,1.4454,101.62,0.0001,12
1409.28,0.0005,0.0039,1.6130000000000002,87.3,0.0004,13
0.17,0,0,4.7791,283.99,0,25
1136.97,0,0.0016,1.5033,67.41,0.0001,11
337.6,0.0001,0.0014,1.5732,78.72,0.0002,19
260.79,0.0001,0.001,1.5386,96.98,0.0001,21
619.46,0.0003,0.0008,1.5275,67.36,0.0001,17
396.46,0.0001,0.0006,1.5556,72.73,0.0001,26
2942.91,0.0002,0.0052,1.3733,216.56,0.0004,19
0.78,0,0.0127,1.0253,166,0,12
675.88,0,0.0024,1.652,55.56,0.0001,25
346.1,0,0.0026,1.4907,90.49,0.0001,22
450.74,0,0.0027,1.4395,46.92,0,22
446.52,0,0.0026,1.624,71.31,0.0001,10
836.44,0,0.0018,1.4841,136.51,0.0001,24
119.54,0,0.001,1.5585,71.16,0.0001,26
578.19,0,0.0012,1.4386,114.72,0.0001,27
878.2,0.0001,0.0011,1.5427,60.89,0.0001,22
1480.21,0.0001,0.001,1.5308,64.93,0.0002,11
1684.74,0.0001,0.0004,1.5536,74.94,0.0001,19
89.43,0.0001,0.001,1.3091,55.16,0.0001,14
393.62,0,0.0012,1.4425,142.97,0,29
1057.87,0.0002,0.0003,1.6017,71.27,0.0002,13
881.77,0,0.0012,1.5971,59.54,0.0001,20
996.42,0.0001,0.001,1.6045,60.41,0.0001,11
153.21,0,0.0008,1.6127,51.95,0.0001,20
258.32,0.0001,0.0007,1.574,57.9,0.0001,20
1012.55,0,0.0028,1.4911,47.19,0.0002,10
489.81,0,0.0041,1.6446,56.97,0.0002,8
742.15,0,0.0025,1.6568,59.39,0.0001,11
0.75,0,0,1,,0,20
224.31,0,0.0025,1.5366,85.94,0.0001,22
324.36,0.0022,0.0214,2.0138,164.84,0.0023,9
384.98,0.0006,0.0051,1.6848,81.95,0.0005,11
267.21,0,0.0018,1.4446,157.97,0.0002,15
295.91,0,0.0014,1.4185,123.42,0.0001,23
1189.39,0.0004,0.0027,1.37,478.29,0.0005,1
226.54,0.0026,0.004,1.4799,289.12,0.0012,12
59.13,0.0003,0.0033,1.2975,224.8,0.0006,18
55.88,0.0002,0.004,1.3373,215.93,0.0002,28
9.1,0,0.0073,2.1897,455.43,0.0029,24
1117.88,0.0004,0.0027,1.4559,440.44,0.0007,28
1.92,0.005,0.025,2.7,321.48,0.0012,15
0.18,0,0,6.4211,388.22,0.0265,16
0.49,0.0125,0,6.9125,284.79,0.1409,11
0.65,0,0.0972,2.2222,241.41,0,16
1063.37,0.0005,0.0012,1.2821,476.98,0.0005,29
0.73,0,0.1519,2.2025,198.4,0,16
1.44,0,0.1216,1.6486,352.47,0.0017,3
0.99,0,0.0826,2.4545,397.95,0,26
72.35,0.0012,0.0043,1.5359,269.37,0.0006,26
62.3,0.0005,0.0034,1.5254,266.89,0.0004,24
78.21,0.0004,0.0042,1.5859999999999999,294.97,0.0008,21
51.75,0.0028,0.0069,1.8624,390.41,0.0028,25
21.94,0.0027,0.0036,1.3719999999999999,269.4,0.0002,3
64.6,0.0003,0.0044,1.4722,267,0.0003,24
1218.94,0.0018,0.0048,1.6414,381.58,0.0004,17
26.75,0,0.0782,1.8645,513.57,0.0002,11
117.45,0.0009,0.0037,1.8305,335.47,0.0028,27
69.35,0.0001,0.0761,1.8563,725.85,0.0013,29
8.29,0.0011,0.0997,1.9398,532.84,0.0014,17
72.51,0.0006,0.1078,1.7832,690.57,0.0005,11
20.33,0.0031,0.1009,1.8688,768.77,0.0026,23
1136.77,0.0045,0.1007,2.7114,552.17,0.005,6
0.66,0,0.7802,2.4835,243.51,0,30
0.96,0,0.9394,2.5909,311.92,0,11
29.9,0,0.0812,1.6649,673.9,0.0001,30
88.41,0.0003,0.0758,1.7988,616.85,0.0009,25
30.03,0.0009,0.0872,1.6901,572.08,0.0001,27
3.11,0.0052,0.4031,2.7881,313.81,0.0054,13
109.16,0.0012,0.003,1.9749,360.02,0.0007,13
111.35,0.001,0.0852,2.0015,526.58,0.0008,30
77.85,0.0008,0.0544,1.7753,530.35,0.0026,28
42.9,0.0004,0.0779,1.7904,554.1,0.0007,13
1.64,0,0.1908,4.458,1123.75,0.0218,14
1.63,0,0.6049,3.4585,451.3,0.0088,14
2.71,0,0.6042,3.1484,502.25,0.0053,17
0.94,0.0091,0.6909,2.6545,331.6,0,9
1.71,0,0.6406,2.6544,308.71,0.0056,21
1.79,0.0125,0.575,3.9458,402.23,0.0133,26
82.15,0.0007,0.027000000000000003,1.1681,492.83,0.0002,14
36.84,0.0016,0.004,1.7388,349.98,0.0006,17
236.71,0.0005,0.0252,1.1278,422.25,0.0003,29
80.21,0.0007,0.0248,1.2758,372.19,0.0004,26
115.09,0.0016,0.0512,1.8003,317.08,0.001,15
405.54,0.0003,0.0261,1.1573,507.82,0.0002,16
368.15,0.0001,0.0289,1.1453,444.78,0.0005,16
98.09,0,0.0322,1.1556,491.25,0.0003,2
14.8,0.008,0.0046,1.9072,447.55,0.0019,15
0.23,0,0,4.3333,329.51,0.0725,5
0.11,0,0.0222,9.4333,804.01,0.2165,5
4.75,0.0033,0.3719,3.995,389.79,0.008,28
22.65,0.0009,0.0013,1.5255,293.41,0.0008,16
61.58,0.0006,0.0041,1.5803,324.65,0.0005,16
6.61,0.0088,0.0058,2.1974,482.07,0.0025,25
31.75,0,0,2.0019,250.23,0,8
122.69,0,0,2.0321,184.13,0,29
1680.85,0.0074,0.0876,2.6838,356.09,0.0113,15
4.62,0.0063,0.8701,4.1252,797.91,0.0124,2
48.84,0,0,2.0648,282.41,0,27
392.66,0,0,2.1555,258.4,0,9
451.06,0,0,2.0421,188.43,0,9
241.59,0,0,2.2202,253.5,0,14
525.75,0,0,2.021,252.09,0,15
197.59,0,0,2.0991,297.26,0,4
876.45,0,0,2.0228,326.46,0,16
716.67,0,0,2.2846,236.66,0,29
192.63,0,0,2.1933,286.13,0,30
323.36,0,0.0007,2.1823,178.28,0,16
